Code  region;Noms_Reg;Noms_Reg_AR
1.0;Tanger-Tetouan-Al Hoceima;???? - ????? - ???????
2.0;Oriental;?????
3.0;Fès-Meknès;??? - ?????
4.0;Rabat-Salé-Kénitra;?????? - ??? - ????????
5.0;Béni Mellal-Khénifra;??? ???? - ??????
6.0;Grand Casablanca-Settat;????? ??????? ?????? - ????
7.0;Marrakech-Safi;????? - ????
8.0;Drâa-Tafilalet;???? - ????????
9.0;Souss-Massa;??? - ????
10.0;Guelmim-Oued Noun;????? - ??? ???
11.0;Laayoune-Sakia El Hamra;?????? -  ??????? ???????
12.0;Eddakhla-Oued Eddahab;??????? - ???? ?????
